Id,Score
40001,2
40002,3
40003,4
40004,3
40005,4
40006,4
40007,5
40008,6
40009,2
40010,3
40011,4
40012,2
40013,3
40014,3
40015,3
40016,3
40017,5
40018,2
40019,4
40020,4
40021,4
40022,2
40023,4
40024,5
40025,4
40026,3
40027,2
40028,5
40029,2
40030,2
40031,4
40032,6
40033,3
40034,3
40035,4
40036,2
40037,3
40038,5
40039,6
40040,4
40041,6
40042,2
40043,3
40044,3
40045,3
40046,3
40047,6
40048,3
40049,5
40050,3
40051,5
40052,5
40053,2
40054,2
40055,1
40056,3
40057,3
40058,4
40059,5
40060,4
40061,5
40062,4
40063,2
40064,2
40065,5
40066,2
40067,5
40068,3
40069,1
40070,3
40071,3
40072,4
40073,2
40074,3
40075,2
40076,5
40077,3
40078,4
40079,4
40080,5
40081,5
40082,4
40083,4
40084,3
40085,2
40086,3
40087,5
40088,2
40089,7
40090,4
40091,3
40092,4
40093,3
40094,4
40095,3
40096,3
40097,3
40098,3
40099,8
40100,6
40101,6
40102,3
40103,4
40104,2
40105,4
40106,6
40107,1
40108,1
40109,4
40110,6
40111,3
40112,3
40113,2
40114,2
40115,2
40116,5
40117,5
40118,4
40119,5
40120,5
40121,3
40122,3
40123,4
40124,2
40125,2
40126,4
40127,2
40128,3
40129,5
40130,3
40131,6
40132,8
40133,2
40134,2
40135,3
40136,3
40137,3
40138,4
40139,4
40140,2
40141,3
40142,3
40143,2
40144,4
40145,4
40146,4
40147,3
40148,2
40149,3
40150,3
40151,3
40152,3
40153,1
40154,2
40155,3
40156,3
40157,2
40158,3
40159,3
40160,3
40161,2
40162,4
40163,3
40164,4
40165,2
40166,3
40167,3
40168,3
40169,4
40170,4
40171,5
40172,4
40173,4
40174,4
40175,3
40176,2
40177,3
40178,4
40179,3
40180,6
40181,2
40182,4
40183,3
40184,1
40185,3
40186,1
40187,3
40188,2
40189,2
40190,4
40191,2
40192,1
40193,1
40194,3
40195,3
40196,2
40197,2
40198,2
40199,4
40200,3
40201,2
40202,2
40203,3
40204,4
40205,4
40206,3
40207,3
40208,5
40209,7
40210,4
40211,6
40212,4
40213,3
40214,4
40215,3
40216,4
40217,5
40218,2
40219,5
40220,4
40221,4
40222,3
40223,2
40224,3
40225,5
40226,3
40227,3
40228,2
40229,4
40230,4
40231,3
40232,8
40233,3
40234,5
40235,4
40236,4
40237,2
40238,4
40239,5
40240,4
40241,3
40242,3
40243,4
40244,1
40245,3
40246,6
40247,3
40248,3
40249,4
40250,4
40251,3
40252,2
40253,1
40254,4
40255,2
40256,2
40257,5
40258,3
40259,3
40260,3
40261,3
40262,2
40263,6
40264,4
40265,3
40266,4
40267,4
40268,5
40269,4
40270,4
40271,4
40272,4
40273,3
40274,3
40275,2
40276,4
40277,4
40278,5
40279,3
40280,2
40281,2
40282,5
40283,4
40284,4
40285,4
40286,4
40287,4
40288,4
40289,2
40290,5
40291,5
40292,2
40293,4
40294,4
40295,3
40296,2
40297,4
40298,4
40299,4
40300,3
40301,2
40302,2
40303,3
40304,2
40305,1
40306,4
40307,4
40308,3
40309,2
40310,4
40311,6
40312,2
40313,7
40314,3
40315,6
40316,6
40317,4
40318,5
40319,3
40320,4
40321,3
40322,2
40323,5
40324,6
40325,4
40326,4
40327,3
40328,6
40329,3
40330,3
40331,3
40332,2
40333,5
40334,5
40335,2
40336,3
40337,3
40338,2
40339,4
40340,4
40341,5
40342,5
40343,3
40344,3
40345,2
40346,5
40347,5
40348,2
40349,3
40350,5
40351,3
40352,5
40353,3
40354,2
40355,4
40356,3
40357,2
40358,2
40359,2
40360,1
40361,4
40362,2
40363,2
40364,4
40365,4
40366,4
40367,3
40368,5
40369,3
40370,3
40371,2
40372,3
40373,3
40374,2
40375,4
40376,3
40377,2
40378,3
40379,3
40380,2
40381,3
40382,4
40383,2
40384,2
40385,3
40386,4
40387,3
40388,1
40389,5
40390,6
40391,3
40392,6
40393,5
40394,3
40395,3
40396,3
40397,5
40398,5
40399,7
40400,6
40401,2
40402,4
40403,5
40404,5
40405,4
40406,5
40407,4
40408,3
40409,7
40410,3
40411,3
40412,3
40413,6
40414,4
40415,4
40416,3
40417,5
40418,3
40419,5
40420,6
40421,4
40422,2
40423,5
40424,4
40425,2
40426,2
40427,2
40428,4
40429,3
40430,5
40431,3
40432,4
40433,5
40434,2
40435,2
40436,2
40437,2
40438,5
40439,3
40440,2
40441,3
40442,2
40443,2
40444,4
40445,3
40446,3
40447,3
40448,2
40449,3
40450,5
40451,7
40452,3
40453,5
40454,4
40455,4
40456,7
40457,3
40458,2
40459,3
40460,3
40461,4
40462,6
40463,5
40464,6
40465,5
40466,4
40467,1
40468,3
40469,2
40470,4
40471,2
40472,3
40473,3
40474,4
40475,3
40476,3
40477,3
40478,5
40479,7
40480,4
40481,4
40482,4
40483,5
40484,4
40485,4
40486,4
40487,2
40488,4
40489,4
40490,3
40491,3
40492,4
40493,2
40494,5
40495,7
40496,3
40497,3
40498,4
40499,5
40500,4
40501,3
40502,2
40503,4
40504,4
40505,3
40506,4
40507,4
40508,4
40509,2
40510,2
40511,2
40512,5
40513,4
40514,4
40515,5
40516,3
40517,1
40518,3
40519,1
40520,5
40521,4
40522,2
40523,3
40524,4
40525,2
40526,3
40527,4
40528,3
40529,3
40530,0
40531,4
40532,2
40533,5
40534,3
40535,4
40536,3
40537,2
40538,3
40539,4
40540,4
40541,2
40542,3
40543,2
40544,4
40545,4
40546,7
40547,3
40548,6
40549,3
40550,3
40551,4
40552,3
40553,4
40554,3
40555,6
40556,6
40557,3
40558,3
40559,4
40560,3
40561,8
40562,3
40563,2
40564,1
40565,3
40566,3
40567,3
40568,4
40569,2
40570,2
40571,4
40572,2
40573,5
40574,3
40575,4
40576,3
40577,2
40578,4
40579,2
40580,3
40581,4
40582,5
40583,4
40584,3
40585,3
40586,4
40587,4
40588,4
40589,3
40590,1
40591,2
40592,3
40593,4
40594,4
40595,4
40596,4
40597,5
40598,3
40599,3
40600,3
40601,2
40602,4
40603,4
40604,2
40605,2
40606,5
40607,2
40608,3
40609,3
40610,4
40611,2
40612,4
40613,2
40614,2
40615,3
40616,3
40617,6
40618,4
40619,2
40620,3
40621,4
40622,4
40623,5
40624,3
40625,2
40626,2
40627,3
40628,5
40629,3
40630,2
40631,4
40632,3
40633,4
40634,4
40635,4
40636,3
40637,4
40638,2
40639,3
40640,4
40641,3
40642,4
40643,1
40644,3
40645,2
40646,3
